Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Primary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.91400146,,98.03385162,95.73049164,93.17961884,94.42333984,94.85334015,,91.58905792,97.54902649,95.52764893,,95.00737762,95.05393982,90.35398102,92.1922226,92.6971283,,
Barbados,,,,,,,,,,,,86.44023132,88.05683136,88.72387695,,,98.82591248,98.33293152,98.23748779,98.87284088,,94.6116333,94.50325012,96.31919861,,,,,,99.7011795,97.60317993,,89.7336731,,,,,,,97.12480164,95.49661255,94.59060669,91.90071869,91.59615326,90.46788788,90.24716949,92.06070709,94.78678894,96.8012085,93.79756165,95.05851746,93.57264709,,,91.02648926,90.92527008,90.81815338,
Brunei Darussalam,,,,,,,,,,,,,,,,,,89.63365173,89.76590729,80.04821777,79.8976593,76.09837341,74.55240631,75.87101746,76.85884857,,80.10404205,,,,,89.87158203,91.67717743,94.31401062,94.4343338,98.0009613,,,,,,,,,,,,,,93.24938202,,,92.61257935,93.67253113,92.33368683,92.26431274,93.68211365,
Bhutan,,,,,,,,,,,,,,,,,,,21.80793953,24.58185959,,,,,,,,,,,,,,,,,,,52.98762131,53.90999985,56.69387054,59.88201904,,,,69.62464905,73.33721161,,78.67378998,83.10204315,84.94342804,85.90296173,87.49841309,84.84934998,,82.7784729,80.9781189,
Botswana,,,,,,,,,,,43.33459854,40.5593605,42.13240814,45.53311157,49.78664017,56.18735886,60.68954849,64.95290375,65.99488831,67.73943329,72.02095032,76.3055191,,80.23368073,80.59809875,82.54953003,83.63545227,84.52101135,84.98253632,85.51602173,85.00489044,87.02613068,86.46166992,86.20854187,86.48709106,78.72177124,79.86946869,,82.05297852,82.98729706,84.07710266,85.62358856,85.72341156,85.76091766,86.53627777,85.70659637,86.75821686,86.0030899,85.73587036,86.5010376,,,92.30000305,93.17520905,89.04660797,,,
Central African Republic,,,,,,,,,,,,49.8220787,52.32555008,54.50529099,,,,50.64833832,50.47077179,,,55.24798965,56.8728714,58.52471161,,,61.03244019,50.62699127,48.3279686,48.3828392,57.26208115,52.95280838,,,,,,,,,,,,,,47.65447998,48.08369827,56.21570969,64.93563843,65.17460632,67.33583832,65.38157654,68.07991791,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,95.56710815,95.29425812,94.72662354,94.57524109,94.88964081,94.95413208,94.94940948,95.18415833,95.18572998,97.73861694,97.48632813,95.86266327,95.30892181,94.18283081,95.11089325,,98.43271637,99.70514679,99.91953278,,,,,,,,,,,,99.47058868,99.44992065,99.4045105,99.59809875,99.96224213,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.78881836,94.40128326,93.67759705,93.64666748,94.37837219,93.68536377,93.60810852,93.3219986,92.68392181,92.69422913,92.89234924,92.51049042,92.9124527,93.27777863,93.26767731,93.28708649,93.09095001,92.92360687,92.8022995,92.48867035,
Switzerland,,,,,,,,,,,,,,,,,,75.65157318,76.18498993,,,77.13974762,77.10378265,76.73268127,76.20934296,76.14981842,76.56069183,77.74510193,79.52866364,81.58158112,83.2928009,84.09174347,84.12696075,83.32559967,82.43993378,88.86615753,90.79218292,,,95.72994995,95.57440186,95.29064941,95.17031097,94.93831635,94.43566132,93.39526367,92.97382355,92.95941162,93.61908722,93.76525879,93.70471954,93.61617279,93.46543884,93.63558197,93.77493286,93.31900024,93.53813171,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
