Data Source,World Development Indicators
Indicator,"Primary completion rate female (% of relevant age group)"
Last Updated Date,2020-07-01
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Dem. Rep.",,,,,,,,,,,,21.06776,23.05197,,,,34.50054,38.14192,41.64547,,43.1256,46.38617,48.2635,51.93892,55.73892,,,,36.61256,,,38.95988,36.20647,45.26673,37.17543,,,,,32.25813,,,34.29205,,,,,44.78392,49.69059,51.79491,54.74396,54.94471,60.60849,62.68452,,70.33311,,,,,
"Congo, Rep.",,,,,,,,,,,,,48.87165,57.59515,46.65051,56.41666,60.58477,63.29453,64.8752,71.24141,73.2627,73.96053,72.79458,69.82513,71.23032,70.17676,72.28995,73.66495,73.038,67.02897,58.23,49.68729,61.99154,62.23354,52.65006,,49.63282,,,31.97123,,56.5223,58.63913,54.23509,76.83693,67.56289,72.29999,71.84729,67.1419,65.87462,66.25349,74.24105,75.90188,,,,,,,,
Colombia,,,,,,,,,,,35.78015,53.18452,54.1419,57.42449,58.44444,,,,,,,,75.24025,78.15633,77.78258,72.34123,70.58802,74.73058,74.17254,73.96185,86.86043,77.61591,89.76293,87.97133,86.38111,90.62122,91.81697,,98.07742,99.45536,98.68615,,95.25826,,102.33311,106.29671,112.69968,115.14825,114.82813,119.96297,118.43991,115.2384,109.1178,99.07472,98.60758,99.43529,101.14947,105.97451,105.75733,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,55.39503,48.59588,,,,,42.11634,,,,,,,47.26137,,,54.58173,53.79292,60.44427,,,61.55029,64.27851,,,,,76.65896,80.48532,,,77.23447,,,
Cabo Verde,,,,,,,,,,,,,,,12.52087,13.79389,,15.31292,13.62398,15.02997,15.0457,25.25012,24.00195,19.64022,30.05997,30.68729,35.92109,40.37619,46.36527,,59.44654,,,,74.29311,,,,103.72117,,108.31963,100.32206,99.82526,101.277,96.7828,85.27743,98.38969,94.47965,102.32839,96.82029,100.07375,97.48734,97.16568,91.49549,91.91007,95.30651,90.13057,88.13062,89.3386,,
Costa Rica,,,,,,,,,,,75.37575,76.40733,85.99593,88.94543,87.41291,87.81124,83.33275,91.58764,89.0895,85.75704,86.19583,89.66035,90.1373,,,79.31034,78.81963,75.81501,76.42445,75.95189,,80.4404,82.43562,83.9421,83.01518,81.72074,84.16709,,,84.73879,89.54874,92.53456,93.61452,,94.45744,93.75507,91.29455,93.64821,96.2172,98.30652,99.89013,105.70381,103.4795,99.00431,98.14424,99.89063,98.15663,97.52011,99.14283,,
Caribbean small states,,,,,,,,,,,,,,,,92.51775,92.18331,94.51336,94.29611,95.3643,92.75872,94.58674,95.76332,94.64764,94.06596,91.33943,92.17829,94.12197,95.6755,97.72735,98.06509,97.13034,95.86141,94.05488,92.15357,90.2496,90.4996,91.15865,92.9935,94.68863,93.96296,88.52552,90.17721,89.1809,91.05254,91.79948,91.89394,91.43421,91.74846,92.77189,91.09068,92.67078,92.65825,91.75442,91.96364,92.31832,91.5725,91.83736,90.90475,,
Cuba,,,,,,,,,,,,72.27805,63.72822,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79353,95.53234,95.94765,102.38937,99.04055,97.10443,98.35176,96.59128,94.99459,89.46589,95.86504,95.55158,96.1026,94.95478,94.77935,99.73029,97.86982,93.37154,90.33092,84.53137,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,88.79649,87.13011,84.92204,86.90808,78.92638,77.35913,71.37241,76.75545,83.12119,73.44852,90.23642,78.99704,78.44166,76.26992,58.44519,61.01412,68.77114,77.60135,76.51376,78.72302,83.92305,81.66694,100.55854,104.52595,99.81298,96.12532,99.21381,,99.82805,97.27323,98.57838,100.90276,103.19252,86.99913,99.85102,101.41141,99.95973,99.67638,103.32212,100.85892,101.55157,99.69033,97.85683,100.09721,97.79705,98.93182,101.15687,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.74862,104.18098,,107.58054,,,99.67945,99.95541,99.71201,104.45094,98.33081,100.01361,98.61827,93.19715,95.01145,98.37384,103.80872,106.60491,103.19502,100.46293,100.24669,98.30654,96.10889,97.47838,97.5019,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.42071,96.5618,96.21008,96.77906,98.70239,,101.05931,104.03802,105.54239,101.50632,100.52162,98.95947,96.76303,98.57838,103.75445,101.99357,102.28052,101.95521,101.3036,98.82685,98.30923,97.24284,98.98635,98.30188,99.11704,,,
Djibouti,,,,,,,,,,,,,11.71569,12.63062,12.27997,14.0937,12.04354,,,,,,,,,,,,,,,,,,,,,,,19.12817,21.797,21.37562,,,,28.95325,34.21165,,41.35264,,,54.48617,,50.75243,60.25267,67.06704,69.2826,66.35029,69.90913,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.75799,,,,,,,,,,,142.12272,125.52846,118.3056,102.71041,93.17872,96.32546,97.1867,86.19355,88.5906,84.9162,78.45706,76.03053,93.40836,96.58703,96.37681,104.26357,111.52263,115.59829,,,,
Denmark,,,,,,,,,,,,96.97919,93.91042,95.60545,94.32273,,,,,,,93.37783,91.31809,92.58417,97.35581,100.50729,96.85686,98.4761,102.96405,97.10753,95.6696,98.01112,97.28868,99.57841,97.35247,,,,101.8011,101.35924,99.89109,101.52771,105.9975,,100.93671,100.41093,102.27352,101.99514,101.36426,98.21628,99.36483,99.68857,98.99673,100.00603,99.23007,98.30833,102.66111,102.89711,,,
